Metric:	mention_overlap_by_frequency
Split pair	Entity scope	Bin	Union count	Intersection count	Jaccard	Union share	Intersection share	Contribution to Overall Jaccard	Article topic distribution entropy
(NCBI_Disease_train, NCBI_Disease_test)	disease	(2, 4)	173	26	0.15028902	0.24435028	0.18705036	0.036723164	3.272444
(NCBI_Disease_train, NCBI_Disease_test)	disease	(4, 8)	132	29	0.21969697	0.18644068	0.20863309	0.040960452	3.272444
(NCBI_Disease_train, NCBI_Disease_test)	disease	(8, 16)	74	34	0.45945946	0.10451977	0.24460432	0.048022599	3.272444
(NCBI_Disease_train, NCBI_Disease_test)	disease	(16, 32)	37	21	0.56756757	0.052259887	0.15107914	0.029661017	3.272444
(NCBI_Disease_train, NCBI_Disease_test)	disease	(32, 64)	18	11	0.61111111	0.025423729	0.079136691	0.015536723	3.272444
(NCBI_Disease_train, NCBI_Disease_test)	disease	(64, 128)	15	13	0.86666667	0.021186441	0.09352518	0.018361582	3.272444
(NCBI_Disease_train, NCBI_Disease_test)	disease	(128, 256)	5	5	1	0.0070621469	0.035971223	0.0070621469	3.272444
(NCBI_Disease_train, NCBI_Disease_test)	disease	(256, None)	0	0	0	0	0	0	3.272444
(NLM_Chem_train, NLM_Chem_test)	chemical	Overall	1686	401	0.23784104	1	1	0.23784104	3.3269423
(NLM_Chem_train, NLM_Chem_test)	chemical	(1, 2)	432	0	0	0.25622776	0	0	3.3269423
(NLM_Chem_train, NLM_Chem_test)	chemical	(2, 4)	347	49	0.14121037	0.20581257	0.12219451	0.029062871	3.3269423
(NLM_Chem_train, NLM_Chem_test)	chemical	(4, 8)	262	67	0.25572519	0.15539739	0.16708229	0.039739027	3.3269423
(NLM_Chem_train, NLM_Chem_test)	chemical	(8, 16)	202	77	0.38118812	0.1198102	0.19201995	0.045670225	3.3269423
(NLM_Chem_train, NLM_Chem_test)	chemical	(16, 32)	158	59	0.37341772	0.09371293	0.14713217	0.034994069	3.3269423
(NLM_Chem_train, NLM_Chem_test)	chemical	(32, 64)	122	61	0.5	0.072360617	0.1521197	0.036180308	3.3269423
(NLM_Chem_train, NLM_Chem_test)	chemical	(64, 128)	104	49	0.47115385	0.06168446	0.12219451	0.029062871	3.3269423
(NLM_Chem_train, NLM_Chem_test)	chemical	(128, 256)	44	26	0.59090909	0.026097272	0.064837905	0.015421115	3.3269423
(NLM_Chem_train, NLM_Chem_test)	chemical	(256, None)	15	13	0.86666667	0.0088967972	0.032418953	0.0077105575	3.3269423
(NLM_Gene_train, NLM_Gene_test)	gene_protein_sequence	Overall	3632	400	0.11013216	1	1	0.11013216	3.2725862
(NLM_Gene_train, NLM_Gene_test)	gene_protein_sequence	(1, 2)	1720	0	0	0.47356828	0	0	3.2725862
(NLM_Gene_train, NLM_Gene_test)	gene_protein_sequence	(2, 4)	930	96	0.10322581	0.25605727	0.24	0.026431718	3.2725862
(NLM_Gene_train, NLM_Gene_test)	gene_protein_sequence	(4, 8)	501	129	0.25748503	0.13794053	0.3225	0.035517621	3.2725862
(NLM_Gene_train, NLM_Gene_test)	gene_protein_sequence	(8, 16)	348	92	0.26436782	0.095814978	0.23	0.025330396	3.2725862
(NLM_Gene_train, NLM_Gene_test)	gene_protein_sequence	(16, 32)	108	62	0.57407407	0.029735683	0.155	0.017070485	3.2725862
(NLM_Gene_train, NLM_Gene_test)	gene_protein_sequence	(32, 64)	23	19	0.82608696	0.0063325991	0.0475	0.0052312775	3.2725862
(NLM_Gene_train, NLM_Gene_test)	gene_protein_sequence	(64, 128)	2	2	1	0.00055066079	0.005	0.00055066079	3.2725862
(NLM_Gene_train, NLM_Gene_test)	gene_protein_sequence	(128, 256)	0	0	0	0	0	0	3.2725862
(NLM_Gene_train, NLM_Gene_test)	gene_protein_sequence	(256, None)	0	0	0	0	0	0	3.2725862
(S1000_train, S1000_test)	species	Overall	1360	95	0.069852941	1	1	0.069852941	3.458114
(S1000_train, S1000_test)	species	(1, 2)	489	0	0	0.35955882	0	0	3.458114
(S1000_train, S1000_test)	species	(2, 4)	451	14	0.031042129	0.33161765	0.14736842	0.010294118	3.458114
(S1000_train, S1000_test)	species	(4, 8)	270	25	0.092592593	0.19852941	0.26315789	0.018382353	3.458114
(S1000_train, S1000_test)	species	(8, 16)	108	23	0.21296296	0.079411765	0.24210526	0.016911765	3.458114
(S1000_train, S1000_test)	species	(16, 32)	28	19	0.67857143	0.020588235	0.2	0.013970588	3.458114
(S1000_train, S1000_test)	species	(32, 64)	11	11	1	0.0080882353	0.11578947	0.0080882353	3.458114
(S1000_train, S1000_test)	species	(64, 128)	2	2	1	0.0014705882	0.021052632	0.0014705882	3.458114
(S1000_train, S1000_test)	species	(128, 256)	1	1	1	0.00073529412	0.010526316	0.00073529412	3.458114
(S1000_train, S1000_test)	species	(256, None)	0	0	0	0	0	0	3.458114
(tmVar_train, tmVar_test)	sequence_variant	Overall	871	17	0.019517796	1	1	0.019517796	3.1999731
(tmVar_train, tmVar_test)	sequence_variant	(1, 2)	619	0	0	0.71067738	0	0	3.1999731
(tmVar_train, tmVar_test)	sequence_variant	(2, 4)	186	4	0.021505376	0.21354765	0.23529412	0.0045924225	3.1999731
(tmVar_train, tmVar_test)	sequence_variant	(4, 8)	56	10	0.17857143	0.064293915	0.58823529	0.011481056	3.1999731
(tmVar_train, tmVar_test)	sequence_variant	(8, 16)	9	2	0.22222222	0.010332951	0.11764706	0.0022962113	3.1999731
(tmVar_train, tmVar_test)	sequence_variant	(16, 32)	1	1	1	0.0011481056	0.058823529	0.0011481056	3.1999731
(tmVar_train, tmVar_test)	sequence_variant	(32, 64)	0	0	0	0	0	0	3.1999731
(tmVar_train, tmVar_test)	sequence_variant	(64, 128)	0	0	0	0	0	0	3.1999731
(tmVar_train, tmVar_test)	sequence_variant	(128, 256)	0	0	0	0	0	0	3.1999731
(tmVar_train, tmVar_test)	sequence_variant	(256, None)	0	0	0	0	0	0	3.1999731
